id,extension_indigenousStatus,identifier_ihi,identifier_medicare,identifier_dva,name_official_family,name_official_given1,name_official_given2,name_usual_given,telecom_home_phone,telecom_mobile_phone,telecom_email,gender,birthDate,birthDate_accurancyIndicator,address_home_line1,address_home_city,address_home_state,address_home_postalCode,address_postal_line1,address_postal_line2,address_postal_city,address_postal_state,address_postal_postalCode,communication1_language_code,communication1_language_system,communication1_language_display,communication1_preferred
50c48f4e-372b-9381-663a-e8f41e3ad3f8,1,,6951449677,,Bennelong,Anne,,,,0491 572 665,,female,1968-10-11,,4 Brisbane Street,Brisbane,QLD,4112,,,,,,yub,urn:ietf:bcp:47,Yugambal,
50c48f4e-372b-9381-663a-e8f41e3ad3f7,,8003608333339158,,,BURKE,AARON,R,,,,,male,1958-04-26,,320 HERMANN CCT,TIMBER CREEK,NT,0852,,,,,,,,,
7f38f250-e9d1-1bee-4ba9-d1e9fb030de7,,8003608666672753,,,ARNOLD,KIRRILY,A,,,,,female,1955-06-26,,449 DENISE CR,GREENBANKS,VIC,5253,,,,,,,,,
b427ead0-9f4a-e948-2a4b-4e80131bf159,,8003608500006077,,,HOBBS,LUDWIG,P,,,,,male,1947-11-09,,76 HUNG CCT,DEAKIN,ACT,2600,,,,,,,,,
48dd63ee-53e2-6a31-4574-f7d293b1d367,,8003608666672761,,,FARRELL,GAIL,R,,,,,female,1958-05-24,,211 FRITS GR,BUNDALL,QLD,4217,,,,,,,,,
8dc0b952-d761-cf51-6ddd-3b1b4f33fb76,,8003608500006085,,,GODWIN,MADELAINE,K,,,,,female,1963-04-20,,375 HELMUT GR,KONONGWOOTONG,VIC,3315,,,,,,,,,
a72516ce-ecd4-87e2-476d-2a5e49d51261,,8003608666672779,,,CORBETT,GERT,G,,,,,male,1969-07-08,,35 JIT GR,KARIJINI,WA,6751,,,,,,,,,
77a6169f-96bb-61af-b229-4b5b5f31d267,,8003608833339799,,,HUFFMAN,JAQUIE,E,,,,,female,1959-06-27,,466 GORDON PL,PORT CAMPBELL,VIC,3269,,,,,,,,,
30a54b53-899a-58a9-65d0-23f0043dc797,,8003608166672576,,,JENKINS,KERRIN,O,,,,,female,1958-02-11,,129 DANIELLE ST,THORNLEIGH,NSW,2120,,,,,,,,,
be4858b4-4b11-a305-81ef-0373fa43adc6,,8003608333339166,,,CHERRY,ANGELINA,Q,,,,,female,1957-06-21,,20 DELORES PL,WILMORES LANE,TAS,7301,,,,,,,,,
c001c6dd-3e20-7aa5-3180-993f8ba413a7,,8003608666672787,,,HAYES,DESIREE,K,,,,,female,1962-09-16,,743 DEE AVE,SANDFORD,VIC,3312,,,,,,,,,
ebf5ccc2-84c4-edd7-78fd-98e6aa1b596b,,8003608333339174,,,CONWAY,BRITTA,D,,,,,female,1965-01-12,,499 DELORES DR,MACQUARIE PARK,NSW,2113,,,,,,,,,
3e3fc9ff-f6ea-3fce-3b43-acd89d50ef41,,8003608833339807,,,DOLAN,CARLOS,U,,,,,male,1973-11-04,,14 ELLEN CCT,BRACKNELL,TAS,7302,,,,,,,,,
17f7f2a8-8fab-1e0e-7311-1847f0ea5945,,8003608166672584,,,CATES,KATHLEEN,B,,,,,female,1968-02-16,,422 GAVIN AVE,ELAINE,VIC,3334,,,,,,,,,
156960a8-f3e4-8aa9-f183-2b772ca0351c,,8003608333339182,,,HOOVER,LEIGH,L,,,,,female,1955-01-02,,468 JOHANN AVE,GRINDELWALD,TAS,7277,,,,,,,,,
fb142dca-36e4-ef65-e403-e9ed57c5049c,,8003608333339190,,,CRANE,JOE,N,,,,,male,1976-03-11,,862 HIRAM GR,ASHMORE,QLD,4214,,,,,,,,,
dc47c262-932c-fcaa-4f9f-1c45315e7c98,,8003608833339815,,,CAPPS,MIKE,R,,,,,male,1977-05-09,,412 ELLEN DR,PARADISE BEACH,NSW,2107,,,,,,,,,
cd35195b-86d6-632b-1cad-5b24c44989ca,,8003608833339823,,,GOULD,BLAJOIA,D,,,,,female,1963-04-16,,800 JOE AVE,OATLANDS,NSW,2117,,,,,,,,,
b4c10ecc-f3c8-4842-3fe9-dcc3e7568a76,,8003608333339208,,,LAMM,KAROLINA,F,,,,,female,1955-09-24,,759 CRYSTAL CCT,WONGULLA,SA,5238,,,,,,,,,
75670e47-4699-2ea7-05ef-5f2d6ae87a43,,8003608833339831,,,DUDLEY,KATHERINE,C,,,,,female,1967-06-02,,627 EDWINA CR,CHIFLEY,ACT,2606,,,,,,,,,
89070b33-e6d1-ae19-9baa-e57e13a1f369,,8003608333339216,,,HIGGINS,GRETA,P,,,,,female,1955-08-20,,314 DOT CR,HENLEY,NSW,2111,,,,,,,,,
2f069872-872a-d118-e310-65605eaea04b,,8003608833339898 ,29502158611,,BAREFOOT,JOCK,B,,,,,male,1980-11-08,,582 ELISE CCT,MACQUARIE CENTRE,NSW,2113,,,,,,,,,
9d3112b0-c0ea-eb2d-d356-948eaf598112,,8003608333339265 ,59500967911,,GREEN,HORACIO,,,,,,male,1978-05-05,,948 EDITH PL,HAHNDORF,VIC,5245,,,,,,,,,
cd4e35b1-995d-b854-0d6c-482e35fa940e,,8003608333339273 ,69501581911,,COPELAND,AOUL,N,,,,,male,1962-07-16,,604 ELIZABETH AVE,BAMBOO CREEK,WA,6760,,,,,,,,,
855ad4b2-c690-3e23-3fae-4133ae815293,,8003608000005751 ,49501772511,,BOWLES,DESIREE,Z,,,,,female,1958-07-19,,766 HORACE DR,SORRENTO,QLD,4217,,,,,,,,,
903caf07-b483-50bc-02e2-7ebf58594703,,8003608500006168 ,49501773411,,LAMB,HERB,L,,,,,male,1969-06-04,,364 ION AVE,MOLENDINAR,QLD,4214,,,,,,,,,
37aa721c-ae74-286d-7a19-784d925481cc,,8003608500006176 ,49501774311,,JENKINS,FAYE,W,,,,,female,1971-02-09,,324 DOREEN DR,RENNER SPRINGS,NT,0862,,,,,,,,,
986a22c3-ed7f-67c9-0727-28b8a090ea93,,8003608500006184 ,29502159511,,JACOBSON,CLAUDE,J,,,,,male,1964-03-20,,99 ELIZA ST,HUGHES,ACT,2605,,,,,,,,,
b7e1feeb-6034-3225-0755-18fd025b1813,,8003608500006192 ,49501775211,,CORBETT,BROOKE,N,,,,,female,1963-11-10,,483 CRYSTAL AVE,PARADISE POINT,QLD,4216,,,,,,,,,
a16d4f43-e881-4651-07b1-5b040a358cd2,,8003608333339281 ,49501776111,,KELLEY,LUKE,Q,,,,,male,1960-09-08,,142 HUNG CR,PARKWOOD,QLD,4214,,,,,,,,,
