id,old_id,indigenousStatus_code,indigenousStatus_display,birthPlace_text,birthPlace_country,dateOfArrival,interpreterRequired,identifier1_ihiStatus_code,identifier1_ihiRecordStatus_code,identifier1_use,identifier1_type_code,identifier1_type_system,identifier1_type_display,identifier1_type_text,identifier1_system,identifier1_value,identifier1_period_end,identifier1_assigner_display,identifier2_type_code,identifier2_type_system,identifier2_type_display,identifier2_type_text,identifier2_system,identifier2_value,identifier2_assigner_display,identifier3_type_code,identifier3_type_system,identifier3_type_display,identifier3_type_text,identifier3_system,identifier3_value,identifier3_assigner_display,name1_use,name1_text,name1_family,name1_given1,name1_given2,name1_prefix,name2_use,name2_text,name2_family,name2_given1,name2_given2,name2_prefix,telecom1_system,telecom1_use,telecom1_value,telecom2_system,telecom2_use,telecom2_value,telecom3_system,telecom3_use,telecom3_value,telecom4_system,telecom4_use,telecom4_value,gender,birthDate,birthDate_birthTime,birthDate_accurancyIndicator_code,birthDate_accurancyIndicator_display,address1_use,address1_line1,address1_line2,address1_city,address1_state,address1_postalCode,address1_country,address2_use,address2_line1,address2_line2,address2_city,address2_state,address2_postalCode,address2_country,communication1_language_code,communication1_language_system,communication1_language_text,communication1_preferred,individual_genderIdentity_value_code,individual_genderIdentity_value_display,individual_pronouns_value_code,individual_pronouns_value_display,individual_recordedSexOrGender_type_code,individual_recordedSexOrGender_type_text,individual_recordedSexOrGender_value_code,individual_recordedSexOrGender_value_text
,bennelong-anne,1,Aboriginal but not Torres Strait Islander origin,,,,,,,,MC,,Patient's Medicare number,Medicare Number,http://ns.electronichealth.net.au/id/medicare-number,6951449677,,,IHI,http://ns.electronichealth.net.au/id/hi/ihi/1.0,8003608333647204,,,,,,,,,,,,official,Mrs. Anne Bennelong,Bennelong,Anne,,Mrs,,,,,,,phone,mobile,0491 572 665,,,,,,,,,,female,1968-10-11,,,,home,4 Brisbane Street,,Brisbane,QLD,4112,AU,,,,,,,,yub,urn:ietf:bcp:47,Yugambal,,446141000124107,Identifies as female gender,LA29519-8,she/her/her/hers/herself,1515311000168102,Sex at Birth,248152002,Female
baby-banks-john,,,,,,,,,,temp,MR,,,,http://ns.electronichealth.net.au/id/abn-scoped/medicalrecord/1.0/51824753003,7746677,,QLD Hospital,,,,,,,,,,,,,,,temp,,BANKS,Baby of Mia,,,,,,,,,,,,,,,,,,,,,male,2022-09-14,2022-09-14T14:35:45-05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dan-harry,3,Both Aboriginal and Torres Strait Islander origin,,,,,,,,DVG,http://terminology.hl7.org.au/CodeSystem/v2-0203,DVA Number (Gold Card),DVA Number (Gold),http://ns.electronichealth.net.au/id/dva,NBUR9080,,,IHI,http://ns.electronichealth.net.au/id/hi/ihi/1.0,8003608666976485,,,,,MC,,,Medicare Number,http://ns.electronichealth.net.au/id/medicare-number,29545411314,,,,Dan,Harry,,Mr.,,,,,,,email,home,hdan@amail.example.com,,,,,,,,,,male,1939-08-25,,,,home,29 Gadsby Street,,Blacktown,NSW,2148,Australia,,,,,,,,,,,,33791000087105,Identifies as nonbinary gender,LA29520-6,they/them/their/theirs/themselves,76689-9,Sex Assigned At Birth,male,Male
italia-sofia,,,,,,,,,,,PPN,,,Passport Number,http://hl7.org/fhir/sid/passport-ITA,IT1111111,,,,,,,,,,,,,,,,,,,Italia,Sofia,,Ms,,,,,,,,,,,,,,,,,,,female,1989-05-07,,,,home,Piazza del Colosseo,,Rome,Lazio,00184,ITA,,,,,,,,,,,,,,,,,,,
italia-sofia-missing-birthDate,,,,,,,,,,,PPN,,,Passport Number,http://hl7.org/fhir/sid/passport-ITA,IT1111111,,,,,,,,,,,,,,,,,,,Italia,Sofia,,Ms,,,,,,,,,,,,,,,,,,,female,,,,,home,Piazza del Colosseo,,Rome,Lazio,00184,ITA,,,,,,,,,,,,,,,,,,,
italia-sofia-missing-gender,,,,,,,,,,,PPN,,,Passport Number,http://hl7.org/fhir/sid/passport-ITA,IT1111111,,,,,,,,,,,,,,,,,,,Italia,Sofia,,Ms,,,,,,,,,,,,,,,,,,,,1989-05-07,,,,home,Piazza del Colosseo,,Rome,Lazio,00184,ITA,,,,,,,,,,,,,,,,,,,
italia-sofia-missing-identifier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Italia,Sofia,,Ms,,,,,,,,,,,,,,,,,,,female,1989-05-07,,,,home,Piazza del Colosseo,,Rome,Lazio,00184,ITA,,,,,,,,,,,,,,,,,,,
italia-sofia-missing-name,,,,,,,,,,,PPN,,,Passport Number,http://hl7.org/fhir/sid/passport-ITA,IT1111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,female,1989-05-07,,,,home,Piazza del Colosseo,,Rome,Lazio,00184,ITA,,,,,,,,,,,,,,,,,,,
,smith-emma,4,Neither Aboriginal nor Torres Strait Islander origin,,,,,,,,MC,,Patient's Medicare number,Medicare Number,http://ns.electronichealth.net.au/id/medicare-number,1234567892,2024-05,,IHI,http://ns.electronichealth.net.au/id/hi/ihi/1.0,8003608500314778,,,,,,,,,,,,usual,,SMITH,Emma,,Ms.,,,,,,,,,,,,,,,,,,,female,1999-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,wang-li,4,Neither Aboriginal nor Torres Strait Islander origin,China,CHN,2015,true,,,,MC,,,Medicare Number,http://ns.electronichealth.net.au/id/medicare-number,29533070322,,,IHI,http://ns.electronichealth.net.au/id/hi/ihi/1.0,8003608333647295,,,,,,,,,,,,,,Wang,Li,,Mr,,,,,,,,,,,,,,,,,,,male,1975-05-03,,AAA,"Day, month and year are accurate",home,29 Gadsby Street,,Blacktown,NSW,2148,AU,,,,,,,,yue,urn:ietf:bcp:47,Cantonese,true,,,,,,,,
