id,old_id,identifier1_type_code,identifier1_type_display,identifier1_type_text,identifier1_system,identifier1_value,identifier1_assigner_display,identifier2_type_code,identifier2_type_display,identifier2_type_text,identifier2_system,identifier2_value,active,name1_use,name1_family,name1_given1,name1_prefix1,name1_suffix1,name1_text,telecom1_system,telecom1_value,telecom1_use,telecom2_system,telecom2_value,telecom2_use,address1_use,address1_line1,address1_city,address1_state,address1_postalCode,address1_country,address1_text,gender,qualification1_ahpraProfessionDetails_Profession_text,qualification1_identifier_type_code,qualification1_identifier_type_display,qualification1_identifier_type_text,qualification1_identifier_system,qualification1_identifier_value,qualification1_code_system,qualification1_code_code,qualification1_code_display,qualification1_code_text,period_start,issuer_display,
,bobrester-bob,EI,,Employee number,http://bobrestermedical.example.com/id/employee-id,567845B-1,Bobrester Medical Center,NPI,National provider identifier,HPI-I,http://ns.electronichealth.net.au/id/hi/hpii/1.0,8003613233385384 ,,,Bobrester,Bob,Dr.,,,email,drbob@bobrestermedical.example.com,,,,,,,,,,,,,Medical Practitioner,AHPRA,Australian Health Practitioner Regulation Agency Registration Number,Ahpra Registration Number,http://hl7.org.au/id/ahpra-registration-number,MED0002137855,http://terminology.hl7.org.au/CodeSystem/v2-0360,AUAHPRAProfession,,Medical Practitioner,1996-02-08,Australian Health Practitioner Regulation Agency,
bradley-jill,,,,,,,,NPI,National provider identifier,HPI-I,http://ns.electronichealth.net.au/id/hi/hpii/1.0,8003616566719368 ,true,,Bradley,Jill,,,Jill Bradley,phone,0491 570 006,mobile,,,,,,,,,,,female,,,,,,,,,,,,,
missing-name,,,,,,,,NPI,National provider identifier,HPI-I,http://ns.electronichealth.net.au/id/hi/hpii/1.0,8003616566719384 ,true,,,,,,,phone,0491 570 006,mobile,,,,,,,,,,,female,,,,,,,,,,,,,
,cardy-igist,,,,,,,NPI,National provider identifier,HPI-I,http://ns.electronichealth.net.au/id/hi/hpii/1.0,8003616566719384 ,,,Cardy,Igist,Dr.,,,phone,(02) 5550 4444,,,,,,,,,,,,,,,,,,,,,,,,,
,chau-fryer,,,,,,,NPI,National provider identifier,HPI-I,http://ns.electronichealth.net.au/id/hi/hpii/1.0,8003619900052702 ,,,Fryer,Chau,Dr.,,,phone,0491572665,mobile,email,chau.fryer@murrabitph.example.com.au,work,,,,,,,,,,AHPRA,Australian Health Practitioner Regulation Agency Registration Number,Ahpra Registration Number,http://hl7.org.au/id/ahpra-registration-number,HAC0000000096,http://terminology.hl7.org.au/CodeSystem/v2-0360,AUAHPRARegistration,AHPRA Registration,,,,
,darleen-mackay,EI,,Employee number,http://nephrologyclinic.org.example.com/employee-id,N765009-mackay-darleen,Docker River Nephrology Clinic,NPI,National provider identifier,HPI-I,http://ns.electronichealth.net.au/id/hi/hpii/1.0,8003613233385392 ,,,MACKAY,Darleen,,,,phone,(08) 7010 8018,,email,darleen.mackay@example.com.au,work,,,,,,,,,,,,,,,,,,,,,
,levin-henry,,,,http://www.acme.org/practitioners,254567,,NPI,National provider identifier,HPI-I,http://ns.electronichealth.net.au/id/hi/hpii/1.0,8003611566719047 ,,,Levin,Henry,Dr,VII,,,,,,,,work,310 Hay St,East Perth,WA,6004,,,,,,,,,,,,,,,,
,nurse-nancy,,,,http://www.acme.org/practitioners,456789,,NPI,National provider identifier,HPI-I,http://ns.electronichealth.net.au/id/hi/hpii/1.0,8003616566719392 ,,,Nurse,Nancy,RNP,,,email,NNNP@direct.ExampleMedicalPractice.net,work,,,,work,310 Hay St,East Perth,WA,6004,,,,,,,,,,,,,,,,
,pharmacist,,,,,,,NPI,National provider identifier,HPI-I,http://ns.electronichealth.net.au/id/hi/hpii/1.0,8003614900051861 ,,,Pharmacist,Representative,Mr.,,,,,,,,,,,,,,,,,,,,,,,,,,Bachelor of Pharmacy,,,
,primary-peter,,,,http://www.acme.org/practitioners,25456,,NPI,National provider identifier,HPI-I,http://ns.electronichealth.net.au/id/hi/hpii/1.0,8003618233385516 ,,,Primary,Peter,Dr,,,,,,,,,work,310 Hay St,East Perth,WA,6004,,,,,,,,,,,,,,,,
,sallie-sutherland,,,,,,,NPI,National provider identifier,HPI-I,http://ns.electronichealth.net.au/id/hi/hpii/1.0,8003616566719418 ,,official,Sutherland,Sallie,Dr.,,,phone,0491570158,mobile,email,sallie.sutherland@murrabitph.example.com.au,work,work,112 Law Ct,Murrabit,VIC,3579,,,,,,,,,,,,,,,,
,sandyson-sandy,PRES,Prescriber Number,Prescriber Number,http://ns.electronichealth.net.au/id/medicare-prescriber-number,553256,,NPI,National provider identifier,HPI-I,http://ns.electronichealth.net.au/id/hi/hpii/1.0,8003619900052728 ,,,Sandyson,Sandy,Ms.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,surgeon-david,PRES,Prescriber Number,Prescriber Number,http://ns.electronichealth.net.au/id/medicare-prescriber-number,553299,,NPI,National provider identifier,HPI-I,http://ns.electronichealth.net.au/id/hi/hpii/1.0,8003619900052736 ,,,Surgeon,David,Dr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coulter-oliver,,NPI,National provider identifier,HPI-I,http://ns.electronichealth.net.au/id/hi/hpii/1.0,8003616566718675 ,,,,,,,,official,COULTER,Oliver,,,,phone,0770102471,work,email,oliver.c@southedgepractice.example.com.au,,,76 Abattoir Tce,Southedge,QLD,4871,,,male,Indigenous Health Worker,AHPRA,Australian Health Practitioner Regulation Agency Registration Number,Ahpra Registration Number,http://hl7.org.au/id/ahpra-registration-number,HAC000000001,http://terminology.hl7.org.au/CodeSystem/v2-0360,AUAHPRAProfession,AHPRA Profession,,,,
berry-shay,,NPI,National provider identifier,HPI-I,http://ns.electronichealth.net.au/id/hi/hpii/1.0,8003616566718683 ,,,,,,,,official,BERRY,Shay,,,,phone,0770101729,work,email,shay.b@hudsonagedcare.example.com.au,,,132 Ocean Ct,Hudson,QLD,4860,,,unknown,Registered Nurses,AHPRA,Australian Health Practitioner Regulation Agency Registration Number,Ahpra Registration Number,http://hl7.org.au/id/ahpra-registration-number,HAC000000002,http://terminology.hl7.org.au/CodeSystem/v2-0360,AUAHPRAProfession,AHPRA Profession,,,,
