id,old_id,identifier1_dataAbsentReason,identifier1_type_code,identifier1_type_display,identifier1_type_text,identifier1_system,identifier1_value,identifier1_assigner_display,identifier2_type_code,identifier2_type_display,identifier2_type_text,identifier2_system,identifier2_value,identifier2_assigner_display,active,period_start,period_end,practitioner_reference_id,practitioner_display,organization_reference,organization_reference_id,code1_coding1_system,code1_coding1_code,code1_coding1_display,code1_coding2_system,code1_coding2_code,code1_coding2_display,code1_coding3_system,code1_coding3_code,code1_coding3_display,code1_text,specialty1_coding1_system,specialty1_coding1_code,specialty1_coding1_display,specialty1_coding2_system,specialty1_coding2_code,specialty1_coding2_display,specialty1_text,location_reference,location_reference_id,location_display,healthcareService_reference,telecom1_system,telecom1_value,telecom1_use,telecom2_system,telecom2_value,telecom2_use,availableTime1_daysOfWeek1,availableTime1_daysOfWeek2,availableTime1_daysOfWeek3,availableTime1_availableStartTime,availableTime1_availableEndTime,availableTime2_daysOfWeek1,availableTime2_daysOfWeek2,availableTime2_availableStartTime,availableTime2_availableEndTime,notAvailable1_description,notAvailable1_during_start,notAvailable1_during_end,availabilityExceptions
audiologist-bradley-jill,,,,,,,,,,,,,,,true,,,bradley-jill,,,adv-hearing-care,http://snomed.info/sct,309418004,Audiologist,,,,,,,Audiologist,http://snomed.info/sct,394578005,Audiological medicine,,,,,,,,,email,jill.bradley@ahc.example.com,work,,,,,,,,,,,,,,,,
missing-practitioner,,,,,,,,,,,,,,,true,,,,,,adv-hearing-care,http://snomed.info/sct,309418004,Audiologist,,,,,,,Audiologist,http://snomed.info/sct,394578005,Audiological medicine,,,,,,,,,email,jill.bradley@ahc.example.com,work,,,,,,,,,,,,,,,,
,bobrester-bob-gp,,EI,Employee number,Employee Number,http://ns.electronichealth.net.au/id/hpio-scoped/service-provider-individual/1.0/8003621566684455,BBC-GA-001,Bobregster Medical Center QLD,,,,,,,,,,guthridge-jarred,,,bobrester-medical-center,http://snomed.info/sct,62247001,"General practitioner	",http://www.abs.gov.au/ausstats/abs@.nsf/mf/1220.0,253111,,,,,General Practitioner,http://snomed.info/sct,394814009,General practice (specialty),,,,,,bobrester-medical-center,,,phone,0491579760,,email,drbob@bobrestermedical.example.com,,,,,,,,,,,,,,
,cardiologist-cardy-igist,,UPIN,,Medicare Provider Number,http://ns.electronichealth.net.au/id/medicare-provider-number,1555561A,,,,,,,,,,,cardy-igist,,,hospital-au,http://snomed.info/sct,17561000,Cardiologist,,,,,,,Cardiologist,,,,,,,,,au-hospital,,,phone,(02) 5550 4444,,,,,,,,,,,,,,,,,
,cardiologist-sallie-sutherland,,UPIN,,Medicare Provider Number,http://ns.electronichealth.net.au/id/medicare-provider-number,1555561A,,,,,,,,,,,sallie-sutherland,,,murrabit-hospital,http://snomed.info/sct,17561000,Cardiologist,,,,,,,Cardiologist,,,,,,,,,murrabit-hospital,,,phone,0370102880,,email,sallie.sutherland@murrabitph.example.com.au,work,,,,,,,,,,,,,
,dietician-tan-patricia,,,,,,,,,,,,,,,,,,"Ms Patricia Tan, Dieticians Australia",,,http://snomed.info/sct,159033005,Dietitian,,,,,,,Dietitian,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1220.0,251111,Dietitian,,,,,,,,,fax,0370102020,work,,,,,,,,,,,,,,,,
,gp-primary-peter,,EI,Employee number,Employee Number,http://example.org/Organization/practitioners,23,,,,,,,,true,2012-01-01,2012-03-31,primary-peter,Dr Peter Primary,http://example.org/Organization/123,,http://snomed.info/sct,62247001,General practitioner,,,,,,,General Practitioner,http://snomed.info/sct,394814009,General practice (specialty),,,,,http://example.org/Location/SouthWing,,"South Wing, second floor",http://example.org/HealthcareService/123,phone,(08) 7010 5556,work,email,PPP@example.org,work,mon,tue,wed,09:00:00,16:30:00,thu,fri,09:00:00,12:00:00,Peter will be on extended leave during June 2022,2017-05-01,2017-05-20,Peter is generally unavailable on public holidays and during the Christmas/New Year break
,nephrologist-darleen-mackay,,,,,,,,,,,,,,,,,darleen-mackay,,,,http://snomed.info/sct,11911009,Nephrologist,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1220.0,253322,Renal Medicine Specialist,,,,Nephrologist,http://snomed.info/sct,394589003,Nephrology,,,,,,,,,phone,(03) 7010 8625,,,,,,,,,,,,,,,,,
,nephrologist-levin-henry,,EI,Employee number,Employee Number,http://example.org/Organization/practitioners,23,,,,,,,,true,2012-01-01,2012-03-31,levin-henry,Dr Henry Levin VII,http://example.org/Organization/123,,http://snomed.info/sct,11911009,Nephrologist,,,,,,,Nephrologist,http://snomed.info/sct,394589003,Nephrology,,,,"Allopathic Osteopathic Physicians; Internal Medicine, Nephrology",http://example.org/Location/SouthWing,,"South Wing, second floor",http://example.org/HealthcareService/123,phone,(08) 7010 5557,work,email,HLV.southern@example.org,work,mon,tue,wed,09:00:00,16:30:00,thu,fri,09:00:00,12:00:00,Adam will be on extended leave during May 2017,2017-05-01,2017-05-20,Adam is generally unavailable on public holidays and during the Christmas/New Year break
,np-nurse-nancy,,EI,Employee number,Employee Number,http://example.org/Organization/practitioners,23,,,,,,,,true,2012-01-01,2012-03-31,nurse-nancy,,http://example.org/Organization/123,,http://snomed.info/sct,224571005,Nurse practitioner,,,,,,,Nurse practitioner,http://snomed.info/sct,722165004,Nursing,,,,"Nursing Service Providers; Registered Nurse, Diabetes Educator",http://example.org/Location/SouthWing,,"South Wing, second floor",http://example.org/HealthcareService/123,phone,(08) 7010 5555,work,email,NNNP@example.org,work,mon,tue,wed,09:00:00,16:30:00,thu,fri,09:00:00,12:00:00,Nancy will be on extended leave during May 2022,2022-05-01,2022-05-20,Nancy is generally unavailable on public holidays and during Jewish Holidays
