id,related_person_patient_id,patient_MCN,patient_IRN,patient_dob,patient_age_diff,identifier1_ihiStatus_code,identifier1_ihiRecordStatus_code,identifier1_type_code,identifier1_type_system,identifier1_type_display,identifier1_type_text,identifier1_system,identifier1_value,identifier2_type_code,identifier2_type_system,identifier2_type_display,identifier2_type_text,identifier2_system,identifier2_value,patient_reference_id,relationship_coding1_system,relationship_coding1_code,relationship_coding1_display,name1_use,name1_family,name1_given1,name1_given2,gender,birthDate,telecom1_system,telecom1_use,telecom1_value,telecom2_system,telecom2_use,telecom2_value,telecom3_system,telecom3_use,telecom3_value,address1_line1,address1_city,address1_state,address1_postalCode,address1_country,individual_genderIdentity_value_code,individual_genderIdentity_value_display,individual_pronouns_value_code,individual_pronouns_value_display,individual_recordedSexOrGender_type_code,individual_recordedSexOrGender_type_text,individual_recordedSexOrGender_value_code,individual_recordedSexOrGender_value_text,
banks-mia-leanne,,,,,,active,verified,NI,http://terminology.hl7.org/CodeSystem/v2-0203,,IHI,http://ns.electronichealth.net.au/id/hi/ihi/1.0,8003608333647261,MC,http://terminology.hl7.org/CodeSystem/v2-0203,,Medicare Number,http://ns.electronichealth.net.au/id/medicare-number,29545410412,baby-banks-john,http://terminology.hl7.org/CodeSystem/v3-RoleCode,MTH,mother,official,BANKS,Mia,LEANNE,female,1983-08-25,phone,home,0270107520,phone,mobile,0491574632,phone,work,0270102724,50 Sebastien St,Minjary,NSW,2720,AU,446141000124107,Identifies as female gender,LA29519-8,she/her/her/hers/herself,1515311000168102,Biological sex at birth,248152002,Female,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
